station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
3769,51.09,-0.14,67
3770,51.30,-0.08,5
3772,51.29,-0.27,25
3781,51.18,-0.05,170
3784,51.28,0.19,3
3796,51.08,1.21,117
3797,51.21,1.20,49
3803,49.55,-6.18,31
3808,50.13,-5.20,87
3809,50.05,-5.15,76
3823,50.30,-4.40,200
3827,50.21,-4.07,51
3839,50.44,-3.24,31
3840,50.52,-3.14,252
3844,50.44,-3.24,27
3853,51.00,-2.39,20
3857,50.31,-2.27,52
3862,50.47,-1.50,10
3866,50.35,-1.18,20
3872,50.49,-0.55,4
3876,50.50,-0.18,2
3882,50.54,0.19,52
3894,49.26,-2.36,101
3895,49.13,-2.12,84
3901,54.20,-7.36,72
3904,54.42,-7.35,49
3907,55.10,-6.57,6
3911,54.43,-6.49,225
3915,54.52,-6.27,64
3916,55.11,-6.09,156
3917,54.40,-6.14,63
3920,54.29,-6.06,38
3923,54.14,-6.30,161
3951,51.29,-9.26,21
3952,51.48,-8.15,41
3953,51.56,-10.15,25
3955,51.51,-8.29,162
3956,52.18,-6.30,63
3961,52.51,-6.54,63
3962,52.42,-8.55,20
3963,53.19,-9.54,23
3964,53.17,-9.01,21
3966,53.01,-8.00,76
3967,53.18,-6.26,93
3969,53.26,-6.15,85
3970,53.43,-8.59,69
3971,53.32,-7.22,100
3973,53.54,-8.49,209
3976,54.14,-10.00,10
3978,54.30,-8.15,35
3979,54.03,-7.18,79
3980,55.22,-7.20,21
4001,65.33,-24.21,20
4003,65.33,-24.01,49
4005,66.10,-23.15,27
4007,65.52,-23.34,30
4010,64.48,-23.02,8
4013,65.04,-22.44,8
4014,63.49,-22.43,26
4017,66.06,-22.40,5
4018,63.59,-22.36,54
4025,65.27,-22.12,11
4027,65.14,-21.45,10
4030,64.08,-21.54,61
4034,64.37,-21.36,14
4038,63.52,-21.10,5
4041,65.17,-21.06,8
4042,64.15,-20.25,101
4044,63.50,-20.24,20
4045,65.40,-20.18,22
4048,63.24,-20.17,124
4050,64.04,-20.14,121
4051,66.07,-20.07,3
4052,64.41,-19.29,240
4053,65.42,-19.37,43
4055,65.28,-19.22,115
4056,64.52,-19.34,642
4058,63.25,-19.11,20
4059,66.11,-18.58,30
4062,63.30,-18.22,18
4063,65.41,-18.05,27
4064,63.47,-18.03,38
4065,66.32,-18.01,16
4066,64.27,-18.45,610
4069,65.49,-17.12,42
4071,66.12,-17.06,17
4072,63.52,-16.38,46
4073,65.38,-16.07,386
4077,66.27,-15.57,8
4080,64.48,-15.38,810
4081,66.15,-15.16,17
4082,64.16,-15.13,5
4085,65.42,-14.49,48
4087,65.54,-14.39,19
4089,65.17,-14.24,23
4091,65.02,-14.14,25
4094,64.42,-14.06,25
4097,65.16,-13.35,11
4101,65.30,-24.32,36
4103,65.36,-24.00,4
4104,64.54,-23.56,7
4109,66.03,-23.19,753
4115,65.42,-23.05,621
