location,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
43110,16.59,73.20,91
43128,17.27,78.28,535
43150,17.41,83.18,70
43185,16.12,81.09,10
43192,15.29,73.49,64
43194,15.23,73.49,62
43201,15.25,75.38,669
43237,14.35,77.38,372
43279,13.00,80.11,16
43284,12.55,74.53,106
43285,12.57,74.50,32
43295,12.58,77.35,923
43311,11.07,72.44,12
43333,11.40,92.43,79
43344,10.46,78.43,94
43346,10.55,79.50,6
43369,8.18,73.09,2
43371,8.29,76.57,64
43373,8.32,76.52,7
43413,8.59,79.55,3
43418,8.35,81.15,79
43424,8.02,79.50,2
43466,6.54,79.52,7
43497,6.07,81.08,16
43555,4.12,73.32,3
43599,-0.42,73.09,3
44212,49.58,92.05,939
44231,49.38,100.10,1283
44259,48.05,114.32,747
44277,46.23,96.14,2181
44288,46.16,102.47,1813
44292,47.55,106.51,1304
44373,43.35,104.25,1465
44454,27.42,85.22,1337
45011,22.10,113.34,114
47041,39.56,127.33,22
47058,39.02,125.47,36
47083,37.20,127.35,61
47084,37.21,127.15,142
47086,36.13,126.32,4
47088,36.24,128.17,90
47090,38.15,128.34,19
47102,37.58,124.43,146
47103,37.56,124.38,169
47104,37.48,128.51,80
47105,37.45,128.53,27
47107,37.44,128.56,6
47110,37.33,126.48,10
47111,37.27,127.06,21
47113,37.28,126.26,7
47118,38.14,127.57,125
47120,37.13,127.00,24
47122,37.05,127.02,52
47123,37.06,128.52,704
47128,36.43,127.30,53
47134,36.37,128.21,107
47138,36.02,129.23,4
47142,35.53,128.40,36
47147,36.18,127.13,145
47153,35.10,128.56,3
47155,35.10,128.34,38
47158,35.07,126.48,13
47161,35.04,128.03,8
47169,34.41,125.27,78
47175,34.28,126.19,478
47185,33.18,126.10,76
47188,33.23,126.53,19
47401,45.25,141.41,12
47406,43.57,141.38,25
47412,43.04,141.20,26
47417,42.55,143.13,44
47418,42.57,144.26,16
47420,43.20,145.35,27
47570,37.29,139.55,214
47580,40.42,141.22,37
47582,39.43,140.06,22
47585,39.39,141.58,47
47587,38.55,139.51,5
47590,38.16,140.54,44
47600,37.24,136.54,7
47612,37.06,138.15,15
47616,36.03,136.13,17
47626,36.09,139.23,32
47629,36.23,140.28,31
47636,35.10,136.58,56
47640,35.30,138.46,861
47646,36.03,140.08,27
47656,34.59,138.24,16
47663,34.04,136.12,17
47674,35.09,140.19,14
47678,33.07,139.47,153
47681,34.45,137.41,45
47741,35.27,133.04,22
47744,35.26,133.20,8
47749,35.29,135.23,9
47755,34.54,132.04,21
47764,34.09,132.15,6
47778,33.27,135.45,69
47805,33.22,129.33,59
47807,33.35,130.23,15
47815,33.14,131.37,13
47819,32.49,130.42,39
47822,32.35,131.39,21
47827,31.33,130.33,32
47881,34.08,134.37,11
47891,34.19,134.03,11
47898,32.43,133.01,34
47909,28.24,129.33,295
47912,24.28,123.01,36
47918,24.20,124.10,15
47936,26.12,127.41,50
47945,25.50,131.14,21
47971,27.06,142.11,8
47981,24.47,141.19,120
47991,24.17,153.59,9
48008,25.22,97.24,147
48024,23.12,94.04,152
48042,21.57,96.05,76
48053,20.50,95.50,220
48060,21.18,99.37,828
48062,20.08,92.53,5
48071,19.25,93.33,5
48078,18.55,96.28,49
48080,18.28,94.21,11
48094,16.46,94.46,10
48097,16.52,96.09,20
48108,14.06,98.13,17
48109,14.07,93.22,3
48110,12.26,98.36,37
48112,9.58,98.35,47
48327,18.46,98.58,314
48354,17.23,102.49,178
48378,16.48,100.17,46
48407,15.15,104.52,124
48431,14.58,102.05,187
48453,13.40,100.36,3
48455,13.44,100.34,4
48477,12.41,100.59,21
48480,12.37,102.06,4
48500,11.50,99.49,6
48551,9.08,99.09,7
48565,8.09,98.19,9
48568,7.11,100.36,7
48601,5.18,100.16,4
48602,5.28,100.23,4
48615,6.10,102.17,5
48620,4.13,100.42,8
48647,3.07,101.33,22
48648,3.06,101.39,47
48650,2.43,101.42,17
48657,3.47,103.13,16
48672,2.01,103.19,86
48698,1.22,103.59,14
48820,21.02,105.48,6
48839,20.08,107.43,56
48855,16.04,108.21,7
48887,10.56,108.06,5
48900,10.49,106.40,5
48914,9.11,105.09,2
48966,13.22,103.51,15
48985,10.36,104.11,4
48991,11.36,104.52,10
50557,49.10,125.14,243
51076,47.44,88.05,737
51156,46.49,85.45,1323
51431,43.57,81.20,664
51644,41.43,82.57,1084
51709,39.29,75.45,1387
51777,39.02,88.10,889
51828,37.08,79.56,1375
52203,42.49,93.31,739
52267,41.57,101.04,941
52323,41.48,97.02,1770
52418,40.09,94.41,1140
52533,39.46,98.29,1478
52681,38.38,103.05,1369
52818,36.25,94.54,2809
52836,36.18,98.06,3190
52983,35.52,104.09,1875
53336,41.34,108.31,1290
53463,40.51,111.34,1154
53513,40.44,107.22,1042
53543,39.50,109.59,1459
53614,38.28,106.12,1112
53798,37.11,114.22,184
53915,35.32,106.40,1469
54102,43.57,116.07,1004
54135,43.36,122.16,180
54161,43.54,125.13,238
54292,42.52,129.30,258
54337,41.08,121.07,70
54342,41.44,123.31,49
54374,41.48,126.53,381
54401,40.47,114.53,774
54497,40.03,124.20,14
54511,39.56,116.17,33
54539,39.26,118.54,12
54662,38.54,121.38,97
54823,36.36,117.03,169
54857,36.04,120.20,77
55299,31.29,92.04,4508
55591,29.40,91.08,3650
56080,35.00,102.54,2910
56146,31.37,100.00,3394
56571,27.54,102.16,1599
56691,26.52,104.17,2236
56739,24.59,98.30,1697
56778,25.01,102.41,1892
56964,22.46,100.59,1303
56985,23.27,103.20,1314
57067,34.05,111.04,660
57083,34.43,113.39,111
57127,33.04,107.02,509
57131,34.26,108.58,411
57178,33.06,112.29,182
57290,32.56,113.55,107
57447,30.17,109.28,458
57461,30.44,111.22,258
57494,30.36,114.03,25
57957,25.20,110.18,166
57972,25.44,112.58,369
58027,34.17,117.09,42
58150,33.45,120.18,3
58203,32.52,115.44,33
58238,31.56,118.54,36
58362,31.25,121.27,9
58424,30.37,116.58,62
58457,30.14,120.10,43
58606,28.36,115.55,50
58633,28.58,118.52,83
58725,27.20,117.28,219
58847,26.05,119.17,85
58968,25.02,121.31,9
59023,24.42,108.02,261
59096,24.23,114.29,285
59134,24.29,118.05,139
59211,23.54,106.36,177
59265,23.29,111.18,120
59362,24.01,121.37,14
59431,22.47,108.33,153
59663,21.50,111.58,91
59758,20.00,110.15,64
59792,20.40,116.43,6
59948,18.13,109.35,420
59981,16.50,112.20,5
60020,28.27,-16.15,36
60096,23.43,-15.56,9
60101,35.44,-5.54,14
60115,34.47,-1.56,470
60150,33.53,-5.31,560
60155,33.34,-7.40,57
60191,32.22,-6.24,472
60252,30.20,-9.24,74
60360,36.50,7.49,8
60390,36.41,3.13,29
60402,36.43,5.04,7
60419,36.17,6.37,692
60430,36.18,2.14,721
60445,36.10,5.19,1015
60490,35.23,0.22,91
60525,34.48,5.44,89
60535,33.09,3.23,1185
60550,33.43,1.05,1347
60559,33.30,6.47,69
60566,32.24,3.48,469
60571,31.30,-2.15,816
60580,31.56,5.24,148
